"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"pDC","pDC","APP","CD74",0.464358561809122,0,"APP_CD74","APP - CD74","APP","Cell-Cell Contact","PMID: 19849849"
"CD16+Mono","Cycling","CD86","CTLA4",0.0090236316874322,0,"CD86_CTLA4","CD86 - CTLA4","CD86","Cell-Cell Contact","PMID: 23954143"
"cDC2","Cycling","CD86","CTLA4",0.0123442643585035,0,"CD86_CTLA4","CD86 - CTLA4","CD86","Cell-Cell Contact","PMID: 23954143"
"CD16+Mono","Treg","CD86","CTLA4",0.0336012473992734,0,"CD86_CTLA4","CD86 - CTLA4","CD86","Cell-Cell Contact","PMID: 23954143"
"cDC2","Treg","CD86","CTLA4",0.0455505407280013,0,"CD86_CTLA4","CD86 - CTLA4","CD86","Cell-Cell Contact","PMID: 23954143"
"CD16+Mono","cDC2","ICAM1","ITGAX_ITGB2",0.0581946832829672,0,"ICAM1_ITGAX_ITGB2","ICAM1 - (ITGAX+ITGB2)","ICAM","Cell-Cell Contact","PMID: 16252253"
"cDC2","cDC2","ICAM1","ITGAX_ITGB2",0.0671668023202865,0,"ICAM1_ITGAX_ITGB2","ICAM1 - (ITGAX+ITGB2)","ICAM","Cell-Cell Contact","PMID: 16252253"
"pDC","cDC2","ICAM1","ITGAX_ITGB2",0.0330300294583397,0,"ICAM1_ITGAX_ITGB2","ICAM1 - (ITGAX+ITGB2)","ICAM","Cell-Cell Contact","PMID: 16252253"
"CD16+Mono","CD16+Mono","ICAM1","ITGAL_ITGB2",0.0359252069432425,0,"ICAM1_ITGAL_ITGB2","ICAM1 - (ITGAL+ITGB2)","ICAM","Cell-Cell Contact","KEGG: hsa04514"
"cDC2","CD16+Mono","ICAM1","ITGAL_ITGB2",0.0416156582661875,0,"ICAM1_ITGAL_ITGB2","ICAM1 - (ITGAL+ITGB2)","ICAM","Cell-Cell Contact","KEGG: hsa04514"
"pDC","CD16+Mono","ICAM1","ITGAL_ITGB2",0.0201839837393284,0,"ICAM1_ITGAL_ITGB2","ICAM1 - (ITGAL+ITGB2)","ICAM","Cell-Cell Contact","KEGG: hsa04514"
"Plasma_B","CD16+Mono","ICAM2","ITGAL_ITGB2",0.0306379057518981,0,"ICAM2_ITGAL_ITGB2","ICAM2 - (ITGAL+ITGB2)","ICAM","Cell-Cell Contact","KEGG: hsa04514"
"CD16+Mono","CD16+Mono","ICAM1","ITGAL",0.010924850163464,0,"ICAM1_ITGAL","ICAM1 - ITGAL","ICAM","Cell-Cell Contact","PMID: 23602662"
"cDC2","CD16+Mono","ICAM1","ITGAL",0.0127075123250994,0,"ICAM1_ITGAL","ICAM1 - ITGAL","ICAM","Cell-Cell Contact","PMID: 23602662"
"pDC","CD16+Mono","ICAM1","ITGAL",0.00606898750091267,0,"ICAM1_ITGAL","ICAM1 - ITGAL","ICAM","Cell-Cell Contact","PMID: 23602662"
"CD16+Mono","Plasma_B","ICAM1","SPN",0.0209610339754498,0,"ICAM1_SPN","ICAM1 - SPN","ICAM","Cell-Cell Contact","PMID: 1683685"
"cDC2","Plasma_B","ICAM1","SPN",0.0243410476740126,0,"ICAM1_SPN","ICAM1 - SPN","ICAM","Cell-Cell Contact","PMID: 1683685"
"pDC","Plasma_B","ICAM1","SPN",0.0116970572614263,0,"ICAM1_SPN","ICAM1 - SPN","ICAM","Cell-Cell Contact","PMID: 1683685"
"CD16+Mono","pDC","ICAM1","SPN",0.031377191422601,0,"ICAM1_SPN","ICAM1 - SPN","ICAM","Cell-Cell Contact","PMID: 1683685"
"cDC2","pDC","ICAM1","SPN",0.0363744302686278,0,"ICAM1_SPN","ICAM1 - SPN","ICAM","Cell-Cell Contact","PMID: 1683685"
"pDC","pDC","ICAM1","SPN",0.0175923920838422,0,"ICAM1_SPN","ICAM1 - SPN","ICAM","Cell-Cell Contact","PMID: 1683685"
